DateTime,AnimalID,System,PositionID
2023-04-24T10:35:33Z,OR416,sys.3,3
2023-04-24T10:35:34Z,OR424,sys.1,7
2023-04-24T10:35:34Z,OR429,sys.4,7
2023-04-24T10:35:36Z,1547,sys.5,3
2023-04-24T10:35:38Z,OR426,sys.5,3
2023-04-24T10:35:38Z,OR415,sys.3,3
2023-04-24T10:35:40Z,OR414,sys.3,7
2023-04-24T10:35:43Z,OR413,sys.3,3
2023-04-24T10:35:43Z,OR424,sys.1,7
2023-04-24T10:35:43Z,OR436,sys.2,7
2023-04-24T10:35:43Z,1546,sys.4,7
2023-04-24T10:35:46Z,OR426,sys.5,7
2023-04-24T10:35:46Z,OR432,sys.1,4
2023-04-24T10:35:47Z,OR428,sys.1,3
2023-04-24T10:35:47Z,OR419,sys.1,3
2023-04-24T10:35:48Z,OR434,sys.5,7
2023-04-24T10:35:48Z,OR415,sys.3,3
2023-04-24T10:35:48Z,1547,sys.5,3
2023-04-24T10:35:50Z,OR432,sys.1,3
2023-04-24T10:35:54Z,OR426,sys.5,3
2023-04-24T10:35:55Z,OR428,sys.1,3
2023-04-24T10:35:55Z,OR413,sys.3,3
2023-04-24T10:35:57Z,OR420,sys.2,7
2023-04-24T10:36:02Z,OR425,sys.2,7
2023-04-24T10:36:03Z,OR414,sys.3,3
2023-04-24T10:36:03Z,1545,sys.2,3
2023-04-24T10:36:04Z,OR432,sys.1,8
2023-04-24T10:36:06Z,1546,sys.4,7
2023-04-24T10:36:13Z,OR432,sys.1,3
2023-04-24T10:36:13Z,OR424,sys.1,7
2023-04-24T10:36:15Z,OR426,sys.5,7
2023-04-24T10:36:15Z,1547,sys.5,3
2023-04-24T10:36:15Z,OR416,sys.3,3
2023-04-24T10:36:17Z,OR420,sys.2,3
2023-04-24T10:36:17Z,OR425,sys.2,3
2023-04-24T10:36:18Z,OR432,sys.1,4
2023-04-24T10:36:21Z,1547,sys.5,3
2023-04-24T10:36:21Z,OR436,sys.2,7
2023-04-24T10:36:24Z,OR414,sys.3,7
2023-04-24T10:36:24Z,OR433,sys.4,4
2023-04-24T10:36:24Z,OR416,sys.3,4
2023-04-24T10:36:25Z,OR428,sys.1,7
2023-04-24T10:36:26Z,1546,sys.4,4
2023-04-24T10:36:28Z,OR433,sys.4,3
2023-04-24T10:36:29Z,OR420,sys.2,3
2023-04-24T10:36:29Z,1547,sys.5,3
2023-04-24T10:36:30Z,OR436,sys.2,3
2023-04-24T10:36:31Z,OR425,sys.2,3
2023-04-24T10:36:32Z,1545,sys.2,3
